Supplementary Table 10: Top RNA markers of the Level3M WNN clusters (MarkerFinder results),,,,
,,,,
UID,Symbol,Pearson rho,Pearson p-value,Cell State
LTK,LTK,0.757654848,1.05E-133,ASDC
AXL,AXL,0.603601851,6.92E-72,ASDC
IL4I1,IL4I1,0.428524719,3.64E-33,ASDC
ATF5,ATF5,0.428055052,4.34E-33,ASDC
BIN1,BIN1,0.421445446,5.01E-32,ASDC
C12orf45,C12orf45,0.403404427,3.05E-29,ASDC
TIAM1,TIAM1,0.393059015,1.01E-27,ASDC
PIK3R5,PIK3R5,0.375255703,3.15E-25,ASDC
ST14,ST14,0.363960276,1.01E-23,ASDC
SLC12A9,SLC12A9,0.355779315,1.14E-22,ASDC
ALDH2,ALDH2,0.352148025,3.26E-22,ASDC
SULF2,SULF2,0.350765365,4.85E-22,ASDC
FAM105A,FAM105A,0.347831234,1.12E-21,ASDC
SLC1A4,SLC1A4,0.341826899,6.04E-21,ASDC
S100A10,S100A10,0.32025998,1.91E-18,ASDC
FAM118A,FAM118A,0.291074524,2.27E-15,ASDC
PLP2,PLP2,0.288597133,4.00E-15,ASDC
CRIP1,CRIP1,0.285851198,7.43E-15,ASDC
FBXW7,FBXW7,0.285782994,7.55E-15,ASDC
FGD2,FGD2,0.282458829,1.58E-14,ASDC
PLBD2,PLBD2,0.278307573,3.94E-14,ASDC
TGFBR1,TGFBR1,0.27811022,4.11E-14,ASDC
DPYSL2,DPYSL2,0.275612341,7.06E-14,ASDC
PLOD3,PLOD3,0.273493894,1.11E-13,ASDC
SEPT9,SEPT9,0.264642828,7.10E-13,ASDC
DDHD1,DDHD1,0.247050087,2.32E-11,ASDC
GALNT3,GALNT3,0.24238922,5.59E-11,ASDC
MVP,MVP,0.24186526,6.16E-11,ASDC
UPF2,UPF2,0.241441646,6.67E-11,ASDC
NBPF12,NBPF12,0.239290649,9.93E-11,ASDC
EED,EED,0.235375038,2.03E-10,ASDC
ENTPD7,ENTPD7,0.219617846,3.17E-09,ASDC
SPPL3,SPPL3,0.210612094,1.40E-08,ASDC
YWHAZ,YWHAZ,0.205848383,2.98E-08,ASDC
ACAP2,ACAP2,0.205249078,3.28E-08,ASDC
GOLIM4,GOLIM4,0.201901593,5.51E-08,ASDC
SEPT6,SEPT6,0.198705597,8.98E-08,ASDC
TAPBP,TAPBP,0.19324307,2.03E-07,ASDC
GNAI2,GNAI2,0.193211477,2.04E-07,ASDC
ARPC2,ARPC2,0.181176258,1.14E-06,ASDC
C17orf49,C17orf49,0.181169583,1.14E-06,ASDC
ANXA11,ANXA11,0.16831215,6.32E-06,ASDC
WDR55,WDR55,0.155752519,2.99E-05,ASDC
C10orf76,C10orf76,0.149518567,6.20E-05,ASDC
COL19A1,COL19A1,0.894653205,1.20E-250,B Memory-1
TNFRSF13C,TNFRSF13C,0.809372847,2.86E-166,B Memory-1
LY9,LY9,0.685162559,8.28E-100,B Memory-1
FCRL1,FCRL1,0.666755441,9.93E-93,B Memory-1
CXCR5,CXCR5,0.66155264,8.07E-91,B Memory-1
CD83,CD83,0.648723879,2.86E-86,B Memory-1
FCER2,FCER2,0.620641591,4.83E-77,B Memory-1
KDM4B,KDM4B,0.597437737,4.27E-70,B Memory-1
PEG10,PEG10,0.567001345,8.39E-62,B Memory-1
NFKBID,NFKBID,0.52549324,8.53E-52,B Memory-1
PWWP2B,PWWP2B,0.51638031,8.86E-50,B Memory-1
PARP15,PARP15,0.505869346,1.58E-47,B Memory-1
PRDM4,PRDM4,0.479419801,3.38E-42,B Memory-1
SNX9,SNX9,0.445794882,4.63E-36,B Memory-1
RAB30,RAB30,0.436269044,1.92E-34,B Memory-1
ARHGAP25,ARHGAP25,0.433682966,5.17E-34,B Memory-1
MGAT5,MGAT5,0.42633405,8.25E-33,B Memory-1
C12orf42,C12orf42,0.424339866,1.73E-32,B Memory-1
NSF,NSF,0.423592401,2.28E-32,B Memory-1
SMAP2,SMAP2,0.421856471,4.31E-32,B Memory-1
BIRC3,BIRC3,0.419770861,9.24E-32,B Memory-1
IL4R,IL4R,0.40845654,5.26E-30,B Memory-1
ADAM28,ADAM28,0.380163592,6.70E-26,B Memory-1
BCL2L11,BCL2L11,0.377611193,1.50E-25,B Memory-1
CASZ1,CASZ1,0.373378373,5.66E-25,B Memory-1
SMCHD1,SMCHD1,0.368344305,2.67E-24,B Memory-1
GRASP,GRASP,0.367005079,4.01E-24,B Memory-1
CD79A,CD79A,0.361810059,1.92E-23,B Memory-1
TCOF1,TCOF1,0.36030543,3.00E-23,B Memory-1
P2RY10,P2RY10,0.349456525,7.05E-22,B Memory-1
HVCN1,HVCN1,0.343146423,4.18E-21,B Memory-1
CD37,CD37,0.329550559,1.69E-19,B Memory-1
GSAP,GSAP,0.32831198,2.35E-19,B Memory-1
BCL2,BCL2,0.322161681,1.17E-18,B Memory-1
CHPT1,CHPT1,0.309032401,3.20E-17,B Memory-1
