"","cell_id","group"
"aaadhoii-1","aaadhoii-1","Mono_MP"
"aaadnbkk-1","aaadnbkk-1","Endo_2"
"aaaeoodc-1","aaaeoodc-1","Unk"
"aaaghpko-1","aaaghpko-1","Unk"
"aaahnijb-1","aaahnijb-1","Unk"
"aaaiacfc-1","aaaiacfc-1","Unk"
"aaaiajeb-1","aaaiajeb-1","Osteoclast"
"aaajgaop-1","aaajgaop-1","Unk"
"aaajjgoo-1","aaajjgoo-1","Unk"
"aaajjjib-1","aaajjjib-1","Unk"
"aaaminii-1","aaaminii-1","Unk"
"aaamiphd-1","aaamiphd-1","T_NK"
"aaamlnda-1","aaamlnda-1","Unk"
"aaancfni-1","aaancfni-1","Unk"
"aabaclbb-1","aabaclbb-1","Unk"
"aabciphm-1","aabciphm-1","Mono_MP"
"aabckgen-1","aabckgen-1","Unk"
"aabckjff-1","aabckjff-1","LEPRhi_MSC"
"aabdmcjl-1","aabdmcjl-1","Unk"
"aabecdfg-1","aabecdfg-1","T_NK"
"aabgeaic-1","aabgeaic-1","Granulo"
"aabhhojm-1","aabhhojm-1","Unk"
"aabjbnfe-1","aabjbnfe-1","Endo_1"
"aablbjai-1","aablbjai-1","Granulo"
"aabmgegb-1","aabmgegb-1","LEPRhi_MSC"
"aabnjiic-1","aabnjiic-1","Endo_1"
"aabpgkim-1","aabpgkim-1","Ery"
"aabplkne-1","aabplkne-1","Unk"
"aacbehdk-1","aacbehdk-1","Unk"
"aacbmncn-1","aacbmncn-1","Unk"
"aaccnbkk-1","aaccnbkk-1","Unk"
"aacehclk-1","aacehclk-1","LEPRhi_MSC"
"aacejoom-1","aacejoom-1","Ery"
"aacfepfe-1","aacfepfe-1","B"
"aacghcac-1","aacghcac-1","Endo_1"
"aacgmcog-1","aacgmcog-1","Unk"
"aachpfbb-1","aachpfbb-1","LEPRhi_MSC"
"aacikcpb-1","aacikcpb-1","Unk"
"aacjanjb-1","aacjanjb-1","Adipo"
"aacjlgia-1","aacjlgia-1","Unk"
"aackhpmd-1","aackhpmd-1","Unk"
"aaclhccj-1","aaclhccj-1","LEPRhi_MSC"
"aacnbaoa-1","aacnbaoa-1","Endo_2"
"aacoidbl-1","aacoidbl-1","LEPRhi_MSC"
"aacpemlc-1","aacpemlc-1","Fibro"
"aadaajde-1","aadaajde-1","Unk"
"aadbmbec-1","aadbmbec-1","Unk"
"aadbpnnd-1","aadbpnnd-1","Endo_2"
"aaddalol-1","aaddalol-1","LEPRhi_MSC"
"aadecpii-1","aadecpii-1","LEPRhi_MSC"
"aadfcdho-1","aadfcdho-1","T_NK"
"aadgfohg-1","aadgfohg-1","Unk"
"aadhdked-1","aadhdked-1","Endo_1"
"aadheall-1","aadheall-1","T_NK"
"aadhmcpg-1","aadhmcpg-1","Unk"
"aadililh-1","aadililh-1","Fibro"
"aadjgmlp-1","aadjgmlp-1","Unk"
"aadkijif-1","aadkijif-1","Unk"
"aadnlbon-1","aadnlbon-1","Unk"
"aaecagjj-1","aaecagjj-1","Unk"
"aaecfffm-1","aaecfffm-1","Unk"
"aaeckjba-1","aaeckjba-1","LEPRhi_MSC"
"aaedbfkk-1","aaedbfkk-1","Unk"
"aaeelmnl-1","aaeelmnl-1","Fibro"
"aaeenglg-1","aaeenglg-1","LEPRhi_MSC"
"aaefjgeg-1","aaefjgeg-1","Unk"
"aaefnpmb-1","aaefnpmb-1","Unk"
"aaefonid-1","aaefonid-1","Unk"
"aaejpdke-1","aaejpdke-1","T_NK"
"aaekhiaa-1","aaekhiaa-1","Unk"
"aaeldipp-1","aaeldipp-1","Unk"
"aaeoaifh-1","aaeoaifh-1","B"
"aafacmbl-1","aafacmbl-1","Osteoclast"
"aafcfpff-1","aafcfpff-1","Unk"
"aafdamem-1","aafdamem-1","Unk"
"aafgleii-1","aafgleii-1","Endo_2"
"aafkjmkb-1","aafkjmkb-1","Unk"
"aafkmpde-1","aafkmpde-1","Unk"
"aafmioja-1","aafmioja-1","Fibro"
"aafncbim-1","aafncbim-1","T_NK"
"aafnfmpn-1","aafnfmpn-1","LEPRhi_MSC"
"aafnkeaj-1","aafnkeaj-1","Unk"
"aafoidcd-1","aafoidcd-1","Endo_1"
"aafpcnpc-1","aafpcnpc-1","B"
"aagehdie-1","aagehdie-1","Fibro"
"aageifoh-1","aageifoh-1","Unk"
"aagflaje-1","aagflaje-1","LEPRhi_MSC"
"aagghmmc-1","aagghmmc-1","Unk"
"aagieagk-1","aagieagk-1","LEPRhi_MSC"
"aagjiapc-1","aagjiapc-1","PC"
"aagkgkkh-1","aagkgkkh-1","Unk"
"aagkimgk-1","aagkimgk-1","Unk"
"aagliphp-1","aagliphp-1","Unk"
"aagmjnop-1","aagmjnop-1","Adipo"
"aagnbmcd-1","aagnbmcd-1","PC"
"aagngljp-1","aagngljp-1","PC"
"aagpjjad-1","aagpjjad-1","Osteoclast"
"aahabbeh-1","aahabbeh-1","Unk"
"aahajdhf-1","aahajdhf-1","Unk"
"aahalhad-1","aahalhad-1","LEPRhi_MSC"
"aahcmlcj-1","aahcmlcj-1","PC"
"aahcmopj-1","aahcmopj-1","Unk"
"aahdgkfk-1","aahdgkfk-1","PC"
"aahdlkde-1","aahdlkde-1","PC"
"aahebaol-1","aahebaol-1","Unk"
"aahehkeo-1","aahehkeo-1","Unk"
"aaheicmj-1","aaheicmj-1","Unk"
"aaheleka-1","aaheleka-1","Unk"
"aahfflgl-1","aahfflgl-1","Unk"
"aahgcaae-1","aahgcaae-1","Endo_1"
"aahgppld-1","aahgppld-1","Endo_1"
"aahhigne-1","aahhigne-1","Osteoclast"
"aahmpkhg-1","aahmpkhg-1","Granulo"
"aahnlkeh-1","aahnlkeh-1","Unk"
"aaholcej-1","aaholcej-1","Unk"
"aahpimfe-1","aahpimfe-1","Unk"
"aaibcpkc-1","aaibcpkc-1","Ery"
"aaibpnen-1","aaibpnen-1","Ery"
"aaickngd-1","aaickngd-1","Unk"
"aaididhd-1","aaididhd-1","PC"
"aaifamfm-1","aaifamfm-1","Unk"
"aaifbbkn-1","aaifbbkn-1","Unk"
"aaigpeek-1","aaigpeek-1","Granulo"
"aaiijkke-1","aaiijkke-1","Granulo"
"aaijgibe-1","aaijgibe-1","Unk"
"aaijjamd-1","aaijjamd-1","Ery"
"aaikcgge-1","aaikcgge-1","Unk"
"aaillnfe-1","aaillnfe-1","PC"
"aailoipg-1","aailoipg-1","T_NK"
"aainjjdg-1","aainjjdg-1","Unk"
"aaioaeho-1","aaioaeho-1","Endo_1"
"aajapccg-1","aajapccg-1","Unk"
"aajcmlhe-1","aajcmlhe-1","Adipo"
"aajcobeb-1","aajcobeb-1","LEPRhi_MSC"
"aajeeeco-1","aajeeeco-1","LEPRhi_MSC"
"aajeelej-1","aajeelej-1","Endo_1"
"aajjceek-1","aajjceek-1","Unk"
"aajkpclb-1","aajkpclb-1","LEPRhi_MSC"
"aajlcnoo-1","aajlcnoo-1","Unk"
"aajonaco-1","aajonaco-1","Unk"
"aajpmnbg-1","aajpmnbg-1","Unk"
"aakbnieo-1","aakbnieo-1","Ery"
"aakcdkai-1","aakcdkai-1","Unk"
"aakdjamh-1","aakdjamh-1","Mono_MP"
"aakikgcl-1","aakikgcl-1","LEPRhi_MSC"
"aakjbome-1","aakjbome-1","Unk"
"aakngfkc-1","aakngfkc-1","LEPRhi_MSC"
"aakniich-1","aakniich-1","Unk"
"aakpaknp-1","aakpaknp-1","Unk"
"aakpckkh-1","aakpckkh-1","LEPRhi_MSC"
"aakpjpkf-1","aakpjpkf-1","Mono_MP"
"aaladeif-1","aaladeif-1","Mono_MP"
"aalbgaod-1","aalbgaod-1","Unk"
"aalddjcj-1","aalddjcj-1","Ery"
"aaldglpc-1","aaldglpc-1","Unk"
"aalimagk-1","aalimagk-1","Unk"
"aaljdeef-1","aaljdeef-1","LEPRhi_MSC"
"aalohldo-1","aalohldo-1","Osteoclast"
"aamajhcg-1","aamajhcg-1","Unk"
"aamcamgd-1","aamcamgd-1","Unk"
"aamcfgol-1","aamcfgol-1","Mono_MP"
"aamcpglh-1","aamcpglh-1","LEPRhi_MSC"
"aamdhlgn-1","aamdhlgn-1","Ery"
"aamedand-1","aamedand-1","Unk"
"aamgpeji-1","aamgpeji-1","Unk"
"aamicgik-1","aamicgik-1","Unk"
"aamiodmc-1","aamiodmc-1","Unk"
"aamlbmjo-1","aamlbmjo-1","LEPRhi_MSC"
"aammjpck-1","aammjpck-1","Granulo"
"aampkabn-1","aampkabn-1","Granulo"
"aanalmje-1","aanalmje-1","Granulo"
"aanamlnd-1","aanamlnd-1","Unk"
"aancgmmj-1","aancgmmj-1","Ery"
"aancjomp-1","aancjomp-1","Unk"
"aandccic-1","aandccic-1","Unk"
"aanfanhh-1","aanfanhh-1","Unk"
"aanflfop-1","aanflfop-1","Unk"
"aaniebcg-1","aaniebcg-1","Unk"
"aanjpokg-1","aanjpokg-1","Unk"
"aanldhih-1","aanldhih-1","Unk"
"aanmflnj-1","aanmflnj-1","Ery"
"aanpiipp-1","aanpiipp-1","Unk"
"aaoabeol-1","aaoabeol-1","Unk"
"aaoakgag-1","aaoakgag-1","Ery"
"aaocogfc-1","aaocogfc-1","Ery"
"aaoconff-1","aaoconff-1","LEPRhi_MSC"
"aaodfmog-1","aaodfmog-1","Mono_MP"
"aaofepma-1","aaofepma-1","Mono_MP"
"aaofjdje-1","aaofjdje-1","Unk"
"aaohacoc-1","aaohacoc-1","T_NK"
"aaohkiki-1","aaohkiki-1","Ery"
"aaoidbke-1","aaoidbke-1","LEPRhi_MSC"
"aaokapce-1","aaokapce-1","Unk"
"aaonldid-1","aaonldid-1","Unk"
"aapacmbe-1","aapacmbe-1","Ery"
"aapcdfcl-1","aapcdfcl-1","Ery"
"aapcimdi-1","aapcimdi-1","Ery"
"aapddmlh-1","aapddmlh-1","Unk"
"aapelnoo-1","aapelnoo-1","Ery"
"aaplbcfa-1","aaplbcfa-1","Ery"
"aapmdakn-1","aapmdakn-1","Unk"
"aapmffof-1","aapmffof-1","Ery"
"aapmkanf-1","aapmkanf-1","Ery"
"aapojjgj-1","aapojjgj-1","Ery"
"aapoomjb-1","aapoomjb-1","Ery"
"abadbpio-1","abadbpio-1","Ery"
"abadjnnn-1","abadjnnn-1","Ery"
"abadmooo-1","abadmooo-1","Ery"
"abafennp-1","abafennp-1","Ery"
"abahgnfi-1","abahgnfi-1","Ery"
"abahihdb-1","abahihdb-1","Ery"
"abajjmch-1","abajjmch-1","Ery"
"abajllfm-1","abajllfm-1","Ery"
"abalhini-1","abalhini-1","Endo_1"
"abambnmo-1","abambnmo-1","Endo_1"
"abamjoog-1","abamjoog-1","Ery"
"abaogfed-1","abaogfed-1","Endo_1"
"abaolobl-1","abaolobl-1","Endo_2"
"abapclke-1","abapclke-1","Endo_2"
"abapdggi-1","abapdggi-1","Endo_1"
"abbbekod-1","abbbekod-1","Endo_2"
"abbbgclj-1","abbbgclj-1","Endo_2"
"abbbjmac-1","abbbjmac-1","Granulo"
"abbcpdjm-1","abbcpdjm-1","Granulo"
"abbdpfan-1","abbdpfan-1","Unk"
"abbenala-1","abbenala-1","Ery"
