"","cell_id","group"
"aaabggfk-1","aaabggfk-1","Early Myeloid Progenitor"
"aaabhkog-1","aaabhkog-1","Pro-B"
"aaabjogj-1","aaabjogj-1","CD4+ T-Cell"
"aaachjlk-1","aaachjlk-1","Early Myeloid Progenitor"
"aaaeeobh-1","aaaeeobh-1","Early Myeloid Progenitor"
"aaafhggl-1","aaafhggl-1","Early Myeloid Progenitor"
"aaagggcb-1","aaagggcb-1","GMP"
"aaajlkde-1","aaajlkde-1","Early Myeloid Progenitor"
"aaakhopc-1","aaakhopc-1","GMP"
"aaalhomg-1","aaalhomg-1","Ba/Eo/Ma"
"aaaoockn-1","aaaoockn-1","Early Myeloid Progenitor"
"aaapackb-1","aaapackb-1","Early Myeloid Progenitor"
"aaapjjlc-1","aaapjjlc-1","Early Myeloid Progenitor"
"aaapkeld-1","aaapkeld-1","Mature B"
"aaapkfki-1","aaapkfki-1","SEC"
"aaapolni-1","aaapolni-1","GMP"
"aabaddgo-1","aabaddgo-1","Early Myeloid Progenitor"
"aabalinf-1","aabalinf-1","GMP"
"aabbdhlc-1","aabbdhlc-1","Early Myeloid Progenitor"
"aabcbcnj-1","aabcbcnj-1","RBC"
"aabdfjbg-1","aabdfjbg-1","Early Myeloid Progenitor"
"aabenamn-1","aabenamn-1","RBC"
"aabfjcnj-1","aabfjcnj-1","MPP"
"aabfndhe-1","aabfndhe-1","MPP"
"aabgkmon-1","aabgkmon-1","CD8+ T-Cell"
"aabiakoc-1","aabiakoc-1","MPP"
"aabiddgm-1","aabiddgm-1","Early Myeloid Progenitor"
"aabijfnd-1","aabijfnd-1","Ba/Eo/Ma"
"aabilplo-1","aabilplo-1","GMP"
"aabjphha-1","aabjphha-1","GMP"
"aabkagmf-1","aabkagmf-1","SEC"
"aablonhg-1","aablonhg-1","Pre-Pro B"
"aabnapgj-1","aabnapgj-1","Monocyte"
"aabncpag-1","aabncpag-1","MPP"
"aabnhimp-1","aabnhimp-1","GMP"
"aabohipe-1","aabohipe-1","MPP"
"aabpdofj-1","aabpdofj-1","Pre-B"
"aabpfapl-1","aabpfapl-1","Early Myeloid Progenitor"
"aabphhme-1","aabphhme-1","VSMC"
"aabpmfjo-1","aabpmfjo-1","MPP"
"aacaanbo-1","aacaanbo-1","Early Myeloid Progenitor"
"aacaeehl-1","aacaeehl-1","GMP"
"aacbccgh-1","aacbccgh-1","RBC"
"aacclagh-1","aacclagh-1","Late Erythroid"
"aaccnebd-1","aaccnebd-1","Early Myeloid Progenitor"
"aaceiclh-1","aaceiclh-1","Early Myeloid Progenitor"
"aacenbml-1","aacenbml-1","RBC"
"aacfcgnn-1","aacfcgnn-1","Monocyte"
"aacgaegb-1","aacgaegb-1","GMP"
"aachaeof-1","aachaeof-1","Late Myeloid"
"aackjood-1","aackjood-1","Early Myeloid Progenitor"
"aacmfeoj-1","aacmfeoj-1","Neutrophil"
"aacmiada-1","aacmiada-1","VSMC"
"aadcbakh-1","aadcbakh-1","GMP"
"aaddefpj-1","aaddefpj-1","GMP"
"aaddkpee-1","aaddkpee-1","GMP"
"aadfbfca-1","aadfbfca-1","GMP"
"aadfeobc-1","aadfeobc-1","MPP"
"aadfjbkn-1","aadfjbkn-1","CD4+ T-Cell"
"aadhpech-1","aadhpech-1","Pre-Pro B"
"aadioiii-1","aadioiii-1","GMP"
"aadjakej-1","aadjakej-1","Early Myeloid Progenitor"
"aadjkfbc-1","aadjkfbc-1","Late Myeloid"
"aadjmcmj-1","aadjmcmj-1","Early Myeloid Progenitor"
"aadjnjbh-1","aadjnjbh-1","MPP"
"aadkbeff-1","aadkbeff-1","Early Myeloid Progenitor"
"aadlganj-1","aadlganj-1","GMP"
"aadmclip-1","aadmclip-1","MPP"
"aadmedgb-1","aadmedgb-1","Late Erythroid"
"aadnpoab-1","aadnpoab-1","MPP"
"aadodcib-1","aadodcib-1","Late Erythroid"
"aadohopl-1","aadohopl-1","GMP"
"aadojgbb-1","aadojgbb-1","Early Myeloid Progenitor"
"aadpljln-1","aadpljln-1","MPP"
"aaeaaahf-1","aaeaaahf-1","Early Myeloid Progenitor"
"aaealnmd-1","aaealnmd-1","GMP"
"aaeamppp-1","aaeamppp-1","Early Myeloid Progenitor"
"aaeanemp-1","aaeanemp-1","Monocyte"
"aaebgoam-1","aaebgoam-1","Late Erythroid"
"aaebimof-1","aaebimof-1","Late Myeloid"
"aaecaaam-1","aaecaaam-1","Cycling HSPC"
"aaegcafj-1","aaegcafj-1","Early Myeloid Progenitor"
"aaegmdlk-1","aaegmdlk-1","Late Myeloid"
"aaekeejk-1","aaekeejk-1","Neutrophil"
"aaelhgdo-1","aaelhgdo-1","Fibro-MSC"
"aaelicnf-1","aaelicnf-1","SEC"
"aaemnlng-1","aaemnlng-1","Early Myeloid Progenitor"
"aaempjpb-1","aaempjpb-1","Late Erythroid"
"aaeohjfe-1","aaeohjfe-1","Early Myeloid Progenitor"
"aaeomppn-1","aaeomppn-1","Cycling HSPC"
"aaeonbfb-1","aaeonbfb-1","Early Myeloid Progenitor"
"aafbnlfc-1","aafbnlfc-1","Late Erythroid"
"aafcafig-1","aafcafig-1","Early Myeloid Progenitor"
"aafdcjcp-1","aafdcjcp-1","Late Myeloid"
"aafdcpef-1","aafdcpef-1","GMP"
"aafdgfld-1","aafdgfld-1","GMP"
"aafejkep-1","aafejkep-1","Late Myeloid"
