"","cell_id","group"
"aaabggfk-1","aaabggfk-1","Endothelial/vSMC/Adipocyte"
"aaabhkog-1","aaabhkog-1","T_NK"
"aaabjogj-1","aaabjogj-1","Uk"
"aaachjlk-1","aaachjlk-1","Endothelial/vSMC/Adipocyte"
"aaaeeobh-1","aaaeeobh-1","Uk"
"aaafhggl-1","aaafhggl-1","Uk"
"aaagggcb-1","aaagggcb-1","Endothelial/vSMC/Adipocyte"
"aaajlkde-1","aaajlkde-1","Uk"
"aaakhopc-1","aaakhopc-1","Uk"
"aaalhomg-1","aaalhomg-1","T_NK"
"aaaoockn-1","aaaoockn-1","Uk"
"aaapackb-1","aaapackb-1","Uk"
"aaapjjlc-1","aaapjjlc-1","Uk"
"aaapkeld-1","aaapkeld-1","B cell"
"aaapkfki-1","aaapkfki-1","Uk"
"aaapolni-1","aaapolni-1","Osteoblast"
"aabaddgo-1","aabaddgo-1","Uk"
"aabalinf-1","aabalinf-1","Uk"
"aabbdhlc-1","aabbdhlc-1","Uk"
"aabcbcnj-1","aabcbcnj-1","Uk"
"aabdfjbg-1","aabdfjbg-1","Proliferating cells"
"aabenamn-1","aabenamn-1","T_NK"
"aabfjcnj-1","aabfjcnj-1","Uk"
"aabfndhe-1","aabfndhe-1","B cell"
"aabgkmon-1","aabgkmon-1","Uk"
"aabiakoc-1","aabiakoc-1","Uk"
"aabiddgm-1","aabiddgm-1","Uk"
"aabijfnd-1","aabijfnd-1","Mast?"
"aabilplo-1","aabilplo-1","Uk"
"aabjphha-1","aabjphha-1","Uk"
"aabkagmf-1","aabkagmf-1","Uk"
"aablonhg-1","aablonhg-1","B cell"
"aabnapgj-1","aabnapgj-1","Uk"
"aabncpag-1","aabncpag-1","Uk"
"aabnhimp-1","aabnhimp-1","Uk"
"aabohipe-1","aabohipe-1","Uk"
"aabpdofj-1","aabpdofj-1","B cell"
"aabpfapl-1","aabpfapl-1","Uk"
"aabphhme-1","aabphhme-1","Uk"
"aabpmfjo-1","aabpmfjo-1","Uk"
"aacaanbo-1","aacaanbo-1","Endothelial/vSMC/Adipocyte"
"aacaeehl-1","aacaeehl-1","Uk"
"aacbccgh-1","aacbccgh-1","Uk"
"aacclagh-1","aacclagh-1","Uk"
"aaccnebd-1","aaccnebd-1","Uk"
"aaceiclh-1","aaceiclh-1","Uk"
"aacenbml-1","aacenbml-1","T_NK"
"aacfcgnn-1","aacfcgnn-1","Uk"
"aacgaegb-1","aacgaegb-1","Uk"
"aachaeof-1","aachaeof-1","Mast?"
"aackjood-1","aackjood-1","Osteoblast"
"aacmfeoj-1","aacmfeoj-1","Uk"
"aacmiada-1","aacmiada-1","Uk"
"aadcbakh-1","aadcbakh-1","Uk"
"aaddefpj-1","aaddefpj-1","Uk"
"aaddkpee-1","aaddkpee-1","Uk"
"aadfbfca-1","aadfbfca-1","Uk"
"aadfeobc-1","aadfeobc-1","Uk"
"aadfjbkn-1","aadfjbkn-1","T_NK"
"aadhpech-1","aadhpech-1","Uk"
"aadioiii-1","aadioiii-1","Uk"
"aadjakej-1","aadjakej-1","Uk"
"aadjkfbc-1","aadjkfbc-1","Uk"
"aadjmcmj-1","aadjmcmj-1","Uk"
"aadjnjbh-1","aadjnjbh-1","Uk"
"aadkbeff-1","aadkbeff-1","Proliferating cells"
"aadlganj-1","aadlganj-1","Uk"
"aadmclip-1","aadmclip-1","Myeloid progenitors"
"aadmedgb-1","aadmedgb-1","Uk"
"aadnpoab-1","aadnpoab-1","Mast?"
"aadodcib-1","aadodcib-1","Proliferating cells"
"aadohopl-1","aadohopl-1","Uk"
"aadojgbb-1","aadojgbb-1","Uk"
"aadpljln-1","aadpljln-1","Uk"
"aaeaaahf-1","aaeaaahf-1","Proliferating cells"
"aaealnmd-1","aaealnmd-1","Myeloid progenitors"
"aaeamppp-1","aaeamppp-1","Uk"
"aaeanemp-1","aaeanemp-1","Uk"
"aaebgoam-1","aaebgoam-1","Mast?"
"aaebimof-1","aaebimof-1","Uk"
"aaecaaam-1","aaecaaam-1","Uk"
"aaegcafj-1","aaegcafj-1","Uk"
"aaegmdlk-1","aaegmdlk-1","Uk"
"aaekeejk-1","aaekeejk-1","Uk"
"aaelhgdo-1","aaelhgdo-1","Uk"
"aaelicnf-1","aaelicnf-1","Endothelial/vSMC/Adipocyte"
"aaemnlng-1","aaemnlng-1","Uk"
"aaempjpb-1","aaempjpb-1","Proliferating cells"
"aaeohjfe-1","aaeohjfe-1","Uk"
"aaeomppn-1","aaeomppn-1","Uk"
"aaeonbfb-1","aaeonbfb-1","Endothelial/vSMC/Adipocyte"
"aafbnlfc-1","aafbnlfc-1","Osteoblast"
"aafcafig-1","aafcafig-1","Uk"
"aafdcjcp-1","aafdcjcp-1","Uk"
"aafdcpef-1","aafdcpef-1","Uk"
"aafdgfld-1","aafdgfld-1","Uk"
"aafejkep-1","aafejkep-1","Megakaryocyte?"
"aaffefle-1","aaffefle-1","Myeloid progenitors"
"aafgggec-1","aafgggec-1","Uk"
"aafgonph-1","aafgonph-1","Uk"
"aafhbham-1","aafhbham-1","Uk"
"aafhfoib-1","aafhfoib-1","Uk"
"aafkafai-1","aafkafai-1","Uk"
"aaflnifd-1","aaflnifd-1","Uk"
"aafnppga-1","aafnppga-1","Myeloid progenitors"
"aafobnle-1","aafobnle-1","Uk"
"aafogdag-1","aafogdag-1","B cell"
"aafogigg-1","aafogigg-1","Uk"
"aafpbofl-1","aafpbofl-1","Uk"
"aafphonn-1","aafphonn-1","Megakaryocyte?"
"aagbikee-1","aagbikee-1","Megakaryocyte?"
"aagcenkk-1","aagcenkk-1","Megakaryocyte?"
"aagehgbc-1","aagehgbc-1","Megakaryocyte?"
"aagemmbe-1","aagemmbe-1","Proliferating cells"
"aagffeam-1","aagffeam-1","Myeloid progenitors"
"aagghmal-1","aagghmal-1","Uk"
"aagkcmoc-1","aagkcmoc-1","Proliferating cells"
"aaglepkk-1","aaglepkk-1","T_NK"
"aaglgonn-1","aaglgonn-1","Megakaryocyte?"
"aagllaff-1","aagllaff-1","Proliferating cells"
"aagmehed-1","aagmehed-1","Osteoblast"
"aagnmeob-1","aagnmeob-1","Megakaryocyte?"
"aahadiee-1","aahadiee-1","Uk"
"aahchijp-1","aahchijp-1","Megakaryocyte?"
"aahchjal-1","aahchjal-1","Uk"
"aahclloe-1","aahclloe-1","Proliferating cells"
"aaheljph-1","aaheljph-1","Uk"
"aahhcehf-1","aahhcehf-1","Proliferating cells"
"aahmhidk-1","aahmhidk-1","Uk"
"aahmhobn-1","aahmhobn-1","Uk"
"aahmlblk-1","aahmlblk-1","B cell"
"aahmmjdg-1","aahmmjdg-1","Proliferating cells"
"aahnlgdp-1","aahnlgdp-1","Myeloid progenitors"
"aahnmjpb-1","aahnmjpb-1","Uk"
"aahpbjdi-1","aahpbjdi-1","Osteoblast"
"aahpknon-1","aahpknon-1","Endothelial/Plasma cell/HSC?"
"aaiabojj-1","aaiabojj-1","Proliferating cells"
"aaiaghpe-1","aaiaghpe-1","Uk"
"aaibbhdl-1","aaibbhdl-1","Uk"
"aaicajge-1","aaicajge-1","Osteoblast"
"aaicgaak-1","aaicgaak-1","Endothelial/vSMC/Adipocyte"
"aaideiec-1","aaideiec-1","Uk"
"aaielahj-1","aaielahj-1","Uk"
"aaignojo-1","aaignojo-1","Uk"
"aaiigmec-1","aaiigmec-1","Uk"
"aaiipmai-1","aaiipmai-1","Uk"
"aaijjghm-1","aaijjghm-1","Uk"
"aaikpmcf-1","aaikpmcf-1","Uk"
"aaikpodi-1","aaikpodi-1","Uk"
"aainajpi-1","aainajpi-1","Uk"
"aaipcngi-1","aaipcngi-1","Uk"
"aaiphapb-1","aaiphapb-1","Uk"
"aajamkpg-1","aajamkpg-1","Uk"
"aajbbdaf-1","aajbbdaf-1","Uk"
"aajcnkdn-1","aajcnkdn-1","Proliferating cells"
"aajecpid-1","aajecpid-1","Proliferating cells"
"aajeehda-1","aajeehda-1","Megakaryocyte?"
"aajfoebk-1","aajfoebk-1","Uk"
"aajfooja-1","aajfooja-1","Uk"
"aajfpeae-1","aajfpeae-1","Megakaryocyte?"
"aajhbnmm-1","aajhbnmm-1","Proliferating cells"
"aajhflba-1","aajhflba-1","Uk"
"aajidhgi-1","aajidhgi-1","T_NK"
"aajjafie-1","aajjafie-1","T_NK"
"aajkglmc-1","aajkglmc-1","Uk"
"aajmibmj-1","aajmibmj-1","Uk"
"aajmnoij-1","aajmnoij-1","Uk"
"aajocopf-1","aajocopf-1","MSC/Fibroblast/Bone"
"aajoimjg-1","aajoimjg-1","Uk"
"aajopnoo-1","aajopnoo-1","MSC/Fibroblast/Bone"
"aakahpgf-1","aakahpgf-1","Uk"
"aakapbcg-1","aakapbcg-1","Uk"
"aakbfpng-1","aakbfpng-1","Uk"
"aakcmecm-1","aakcmecm-1","Proliferating cells"
"aakeenge-1","aakeenge-1","Uk"
"aakfbgjl-1","aakfbgjl-1","Uk"
"aakfhijm-1","aakfhijm-1","Uk"
"aakfhjjh-1","aakfhjjh-1","Uk"
"aakfkebk-1","aakfkebk-1","Uk"
"aakghnne-1","aakghnne-1","Uk"
"aakhfmbm-1","aakhfmbm-1","Uk"
"aakhgbhm-1","aakhgbhm-1","Uk"
"aakhmpam-1","aakhmpam-1","Proliferating cells"
"aakibngg-1","aakibngg-1","Uk"
"aakilpda-1","aakilpda-1","Uk"
"aakjgloa-1","aakjgloa-1","Osteoblast"
"aakkabpo-1","aakkabpo-1","Myeloid progenitors"
"aakkebfi-1","aakkebfi-1","Uk"
"aaklcahd-1","aaklcahd-1","Uk"
"aaklokmn-1","aaklokmn-1","Uk"
"aakobfdl-1","aakobfdl-1","Osteoblast"
"aakpkpfi-1","aakpkpfi-1","MSC/Fibroblast/Bone"
"aalaaalp-1","aalaaalp-1","Osteoblast"
"aalckdfj-1","aalckdfj-1","Uk"
"aaldloon-1","aaldloon-1","Uk"
"aaldpkik-1","aaldpkik-1","Uk"
"aalecikg-1","aalecikg-1","Uk"
"aalgafcn-1","aalgafcn-1","Osteoblast"
"aalgigoo-1","aalgigoo-1","Megakaryocyte?"
"aalhdifn-1","aalhdifn-1","Osteoblast"
"aalhdkci-1","aalhdkci-1","Osteoblast"
"aalhfcmc-1","aalhfcmc-1","Uk"
"aalhmkmi-1","aalhmkmi-1","B cell"
"aalicnoc-1","aalicnoc-1","Osteoblast"
"aalkchon-1","aalkchon-1","Osteoblast"
"aalkmbaa-1","aalkmbaa-1","Osteoblast"
"aalkmdej-1","aalkmdej-1","Proliferating cells"
"aalmaogk-1","aalmaogk-1","Proliferating cells"
"aambjiii-1","aambjiii-1","Proliferating cells"
"aamcjbcb-1","aamcjbcb-1","Proliferating cells"
"aamdbkil-1","aamdbkil-1","MSC/Fibroblast/Bone"
"aamepnfb-1","aamepnfb-1","Proliferating cells"
"aamgbmjg-1","aamgbmjg-1","Uk"
"aamhbpcc-1","aamhbpcc-1","Endothelial/vSMC/Adipocyte"
"aamibkfo-1","aamibkfo-1","Endothelial/vSMC/Adipocyte"
"aamieljl-1","aamieljl-1","Endothelial/vSMC/Adipocyte"
"aamigalg-1","aamigalg-1","Uk"
"aamjegna-1","aamjegna-1","Uk"
"aamkeiei-1","aamkeiei-1","Uk"
"aamkfffg-1","aamkfffg-1","Uk"
"aamlbkdn-1","aamlbkdn-1","Uk"
"aamllbnd-1","aamllbnd-1","Uk"
"aammcjoc-1","aammcjoc-1","Megakaryocyte?"
"aammionm-1","aammionm-1","Uk"
"aamobcme-1","aamobcme-1","B cell"
"aamoeice-1","aamoeice-1","MSC/Fibroblast/Bone"
"aanakbmn-1","aanakbmn-1","Uk"
"aanbmkmh-1","aanbmkmh-1","Uk"
"aanciodh-1","aanciodh-1","Osteoblast"
"aandefje-1","aandefje-1","Endothelial/vSMC/Adipocyte"
"aandgelp-1","aandgelp-1","Uk"
"aanecopc-1","aanecopc-1","Endothelial/vSMC/Adipocyte"
"aanenbna-1","aanenbna-1","MSC/Fibroblast/Bone"
"aanfmpmg-1","aanfmpmg-1","Uk"
"aangceeg-1","aangceeg-1","Uk"
"aangcmna-1","aangcmna-1","Uk"
"aanhefff-1","aanhefff-1","Osteoblast"
"aanhoche-1","aanhoche-1","Endothelial/vSMC/Adipocyte"
"aanjijle-1","aanjijle-1","MSC/Fibroblast/Bone"
"aanjkhfl-1","aanjkhfl-1","MSC/Fibroblast/Bone"
"aankpblc-1","aankpblc-1","Osteoblast"
"aanlbbmf-1","aanlbbmf-1","Uk"
"aanlbckc-1","aanlbckc-1","Osteoblast"
"aanlmhbg-1","aanlmhbg-1","Proliferating cells"
"aannadej-1","aannadej-1","Proliferating cells"
"aannledf-1","aannledf-1","Endothelial/vSMC/Adipocyte"
"aanoilop-1","aanoilop-1","Uk"
"aanplnlh-1","aanplnlh-1","Uk"
"aaoagjlb-1","aaoagjlb-1","Uk"
"aaoaicmg-1","aaoaicmg-1","Proliferating cells"
"aaocpbfk-1","aaocpbfk-1","Proliferating cells"
"aaodjiba-1","aaodjiba-1","Endothelial/Plasma cell/HSC?"
"aaodpfpk-1","aaodpfpk-1","Uk"
"aaoeanhd-1","aaoeanhd-1","Uk"
"aaoejekm-1","aaoejekm-1","Endothelial/vSMC/Adipocyte"
"aaoekomn-1","aaoekomn-1","Proliferating cells"
"aaoenkmg-1","aaoenkmg-1","Proliferating cells"
"aaofbfom-1","aaofbfom-1","Endothelial/vSMC/Adipocyte"
"aaofbjcd-1","aaofbjcd-1","Proliferating cells"
"aaofmakb-1","aaofmakb-1","Proliferating cells"
"aaofmeni-1","aaofmeni-1","Proliferating cells"
"aaogdafh-1","aaogdafh-1","Proliferating cells"
"aaohjbcf-1","aaohjbcf-1","Proliferating cells"
"aaoklkdh-1","aaoklkdh-1","Uk"
"aaoklkgp-1","aaoklkgp-1","Proliferating cells"
"aaomodof-1","aaomodof-1","Uk"
"aaonfkan-1","aaonfkan-1","Proliferating cells"
"aaooldbh-1","aaooldbh-1","T_NK"
"aaopbeke-1","aaopbeke-1","Proliferating cells"
"aapabjol-1","aapabjol-1","Uk"
"aapbagpn-1","aapbagpn-1","Proliferating cells"
"aapbdecb-1","aapbdecb-1","Proliferating cells"
"aapbphlo-1","aapbphlo-1","Proliferating cells"
"aapcaono-1","aapcaono-1","Myeloid progenitors"
"aapcfead-1","aapcfead-1","Uk"
"aapedkfc-1","aapedkfc-1","Uk"
"aapgodjc-1","aapgodjc-1","Proliferating cells"
"aaphafmn-1","aaphafmn-1","Proliferating cells"
"aapkmnjo-1","aapkmnjo-1","Endothelial/vSMC/Adipocyte"
"aapknolg-1","aapknolg-1","Proliferating cells"
"aapldojl-1","aapldojl-1","Proliferating cells"
"aapljehf-1","aapljehf-1","Proliferating cells"
"aaplmabc-1","aaplmabc-1","Proliferating cells"
"aapnakgo-1","aapnakgo-1","Uk"
"aapoigah-1","aapoigah-1","Osteoblast"
"aappmpcp-1","aappmpcp-1","Osteoblast"
"abaaadpc-1","abaaadpc-1","MSC/Fibroblast/Bone"
"abaakjjp-1","abaakjjp-1","MSC/Fibroblast/Bone"
"abaalona-1","abaalona-1","T_NK"
"ababende-1","ababende-1","Uk"
"abaeddeo-1","abaeddeo-1","Uk"
"abaeffcn-1","abaeffcn-1","Proliferating cells"
"abaehiia-1","abaehiia-1","Osteoblast"
"abaeolpg-1","abaeolpg-1","Uk"
"abafloih-1","abafloih-1","Osteoblast"
"abageapb-1","abageapb-1","Uk"
"abaihedd-1","abaihedd-1","Osteoblast"
"abajfnoa-1","abajfnoa-1","Proliferating cells"
"abajnfdh-1","abajnfdh-1","Uk"
"abajnpjd-1","abajnpjd-1","Osteoblast"
"abakhgmk-1","abakhgmk-1","Uk"
"abalaffp-1","abalaffp-1","Uk"
"abamgadj-1","abamgadj-1","Uk"
"abaoddnm-1","abaoddnm-1","Osteoblast"
"abbbeoid-1","abbbeoid-1","Proliferating cells"
"abbddmbp-1","abbddmbp-1","Proliferating cells"
"abbdhmco-1","abbdhmco-1","Uk"
"abbigenb-1","abbigenb-1","Uk"
