"","cell_id","group"
"aaadiodk-1","aaadiodk-1","Not-mapped"
"aaagnigb-1","aaagnigb-1","Not-mapped"
"aaagpcbe-1","aaagpcbe-1","Not-mapped"
"aaagploj-1","aaagploj-1","Not-mapped"
"aaaippcd-1","aaaippcd-1","Not-mapped"
"aaajjhep-1","aaajjhep-1","Not-mapped"
"aaakgohc-1","aaakgohc-1","Macrophages"
"aaalfppb-1","aaalfppb-1","Not-mapped"
"aaamlbhh-1","aaamlbhh-1","Not-mapped"
"aaapanod-1","aaapanod-1","Not-mapped"
"aaapgfhl-1","aaapgfhl-1","Fibro-MSC"
"aabclpdn-1","aabclpdn-1","Not-mapped"
"aabcpbfl-1","aabcpbfl-1","Not-mapped"
"aabenonb-1","aabenonb-1","Not-mapped"
"aabghcid-1","aabghcid-1","Not-mapped"
"aabkhnhl-1","aabkhnhl-1","Not-mapped"
"aabkjghp-1","aabkjghp-1","Not-mapped"
"aablfkml-1","aablfkml-1","Not-mapped"
"aabmkffc-1","aabmkffc-1","Not-mapped"
"aabogocd-1","aabogocd-1","Not-mapped"
"aabomcok-1","aabomcok-1","Not-mapped"
"aacbfpbf-1","aacbfpbf-1","Late Erythroid"
"aacbnmbe-1","aacbnmbe-1","Not-mapped"
"aacdobpl-1","aacdobpl-1","Not-mapped"
"aaceanjn-1","aaceanjn-1","Not-mapped"
"aacffbpi-1","aacffbpi-1","Not-mapped"
"aacfndoj-1","aacfndoj-1","Not-mapped"
"aacgaibb-1","aacgaibb-1","Not-mapped"
"aachbdik-1","aachbdik-1","Not-mapped"
"aachljmo-1","aachljmo-1","Not-mapped"
"aacjggkf-1","aacjggkf-1","Not-mapped"
"aackeljc-1","aackeljc-1","Not-mapped"
"aackogpd-1","aackogpd-1","Not-mapped"
"aackojib-1","aackojib-1","Not-mapped"
"aackpoik-1","aackpoik-1","Not-mapped"
"aacleael-1","aacleael-1","Not-mapped"
"aacmccln-1","aacmccln-1","Not-mapped"
"aacmcneh-1","aacmcneh-1","Not-mapped"
"aacnceoa-1","aacnceoa-1","Not-mapped"
"aacobiai-1","aacobiai-1","Not-mapped"
"aacolfid-1","aacolfid-1","pDC"
"aadacjog-1","aadacjog-1","Mature B"
"aadankob-1","aadankob-1","Not-mapped"
"aadbblme-1","aadbblme-1","Not-mapped"
"aadbmbpm-1","aadbmbpm-1","pDC"
"aaddelnm-1","aaddelnm-1","Not-mapped"
"aaddocck-1","aaddocck-1","Not-mapped"
"aadfahkm-1","aadfahkm-1","Not-mapped"
"aadflpmm-1","aadflpmm-1","Not-mapped"
"aadfmpok-1","aadfmpok-1","AEC"
"aadhciaf-1","aadhciaf-1","Not-mapped"
"aadjiega-1","aadjiega-1","Not-mapped"
"aadkapgp-1","aadkapgp-1","Not-mapped"
"aadkcblc-1","aadkcblc-1","Not-mapped"
"aadnmcok-1","aadnmcok-1","pDC"
"aadnnjae-1","aadnnjae-1","Late Erythroid"
"aadonmaf-1","aadonmaf-1","Late Erythroid"
"aadoolpc-1","aadoolpc-1","Late Erythroid"
"aadpnilm-1","aadpnilm-1","Late Erythroid"
"aaebgefg-1","aaebgefg-1","Not-mapped"
"aaebonon-1","aaebonon-1","Monocyte"
"aaedkodn-1","aaedkodn-1","Not-mapped"
"aaedocbg-1","aaedocbg-1","Late Erythroid"
"aaefooee-1","aaefooee-1","Not-mapped"
"aaeheape-1","aaeheape-1","Late Erythroid"
"aaehpjkl-1","aaehpjkl-1","RBC"
"aaeidcol-1","aaeidcol-1","Not-mapped"
"aaembgch-1","aaembgch-1","Neutrophil"
"aafbmdih-1","aafbmdih-1","Not-mapped"
"aafcimce-1","aafcimce-1","AEC"
"aaffipcg-1","aaffipcg-1","Not-mapped"
"aaffjbbp-1","aaffjbbp-1","Late Erythroid"
"aafglcea-1","aafglcea-1","Not-mapped"
"aafgmpmh-1","aafgmpmh-1","Not-mapped"
"aafgpfln-1","aafgpfln-1","Late Erythroid"
"aafhmndp-1","aafhmndp-1","Late Erythroid"
"aafleeln-1","aafleeln-1","Not-mapped"
"aafmfido-1","aafmfido-1","Not-mapped"
"aafmibnl-1","aafmibnl-1","Not-mapped"
"aafmilmm-1","aafmilmm-1","Neutrophil"
"aafnoeef-1","aafnoeef-1","Not-mapped"
"aafoaldk-1","aafoaldk-1","Not-mapped"
"aafocclh-1","aafocclh-1","Neutrophil"
"aafohlej-1","aafohlej-1","RBC"
"aafoinmk-1","aafoinmk-1","Not-mapped"
"aafokmii-1","aafokmii-1","pDC"
"aagbkoap-1","aagbkoap-1","Not-mapped"
"aagecehd-1","aagecehd-1","AEC"
"aagekjoh-1","aagekjoh-1","Not-mapped"
"aaghaaei-1","aaghaaei-1","Early Myeloid Progenitor"
"aaghfdog-1","aaghfdog-1","GMP"
"aagmpach-1","aagmpach-1","Not-mapped"
"aagpjdog-1","aagpjdog-1","AEC"
"aahceenj-1","aahceenj-1","Not-mapped"
"aahcfigi-1","aahcfigi-1","Late Myeloid"
"aahcgdle-1","aahcgdle-1","Late Erythroid"
"aahckibf-1","aahckibf-1","MEP"
"aahdblhl-1","aahdblhl-1","Not-mapped"
"aahdblmd-1","aahdblmd-1","Late Erythroid"
"aahhhlil-1","aahhhlil-1","Late Erythroid"
"aahijmem-1","aahijmem-1","Late Erythroid"
"aahjloef-1","aahjloef-1","Late Erythroid"
"aahjpfap-1","aahjpfap-1","Late Erythroid"
"aahlbakm-1","aahlbakm-1","Late Erythroid"
"aahlfckm-1","aahlfckm-1","Late Myeloid"
"aahmbjka-1","aahmbjka-1","Not-mapped"
"aahmnopm-1","aahmnopm-1","Late Erythroid"
"aahnioca-1","aahnioca-1","Late Erythroid"
"aahnomla-1","aahnomla-1","Late Erythroid"
"aahpmmfi-1","aahpmmfi-1","Not-mapped"
"aaiaabji-1","aaiaabji-1","Late Erythroid"
"aaiddipl-1","aaiddipl-1","Late Erythroid"
"aaifmgjb-1","aaifmgjb-1","Not-mapped"
"aaiimfbl-1","aaiimfbl-1","Late Erythroid"
"aaimdafn-1","aaimdafn-1","Not-mapped"
"aainabhn-1","aainabhn-1","Late Erythroid"
