cell_id,group
aaaagffj-1,GMP
aaabhbdm-1,RBC
aaacjbml-1,APOD+ MSC
aaadicla-1,Mature B
aaafipfj-1,Cycling HSPC
aaagjpip-1,Ba/Eo/Ma
aaahemgf-1,THY1+ MSC
aaajmgfh-1,Cycling HSPC
aaakmhen-1,Neutrophil
aaakmolk-1,Cycling HSPC
aaalppll-1,Plasma Cell
aaamfmap-1,Fibro-MSC
aaancnoc-1,HSC
aaaomhbe-1,Monocyte
aabaldbj-1,Pro-B
aabbddmb-1,Osteoblast
aabgnlcl-1,Ba/Eo/Ma
aabhmoic-1,Early Myeloid Progenitor
aabjckio-1,RBC
aabkieoh-1,Pro-B
aablogkb-1,Fibro-MSC
aabnadpc-1,Late Myeloid
aabnooie-1,Late Myeloid
aabolfjo-1,Cycling HSPC
aabpffgp-1,CD8+ T-Cell
aacahgjc-1,Neutrophil
aacfeohn-1,Ba/Eo/Ma
aacgdgin-1,RBC
aacmfppm-1,RBC
aacmmchj-1,MEP
aacpflfm-1,Early Myeloid Progenitor
aacphfig-1,Early Myeloid Progenitor
aadahcmn-1,Fibro-MSC
aadbgnim-1,Ba/Eo/Ma
aadcdjgb-1,Neutrophil
aadcplfn-1,RBC
aadgiflp-1,RBC
aadjeigb-1,RBC
aadjmhgo-1,RBC
aadjpaff-1,Early Myeloid Progenitor
aadliddm-1,RBC
aadmpbji-1,CLP
aadobmop-1,Fibro-MSC
aadofhec-1,Mature B
aadphmdb-1,CD4+ T-Cell
aadppobe-1,Fibro-MSC
aaeahaea-1,Plasma Cell
aaeanhmj-1,Neutrophil
aaebbbli-1,Ba/Eo/Ma
aaecddbf-1,CD4+ T-Cell
aaecenkg-1,HSC
aaeekben-1,Ba/Eo/Ma
aaegbbjk-1,Monocyte
aaehmefc-1,APOD+ MSC
aaejamcg-1,CLP
aaejepkc-1,Adipo-MSC
aaekjgll-1,Cycling HSPC
aaekoibn-1,Late Myeloid
aaemmfid-1,SEC
aaenkpah-1,Early Myeloid Progenitor
aaepapih-1,Erythroblast
aafagfoa-1,Pro-B
aafaimmd-1,RBC
aafbhcaj-1,RBC
aafblhem-1,RBC
aafcilbn-1,Pre-B
aaffddcc-1,Monocyte
aafffhnj-1,Cycling HSPC
aafheghn-1,THY1+ MSC
aafkflpp-1,HSC
aaflfiad-1,Osteoblast
aafmgdpo-1,Adipo-MSC
aafpclih-1,RBC
aafpmndl-1,Fibro-MSC
aagblbmi-1,CD4+ T-Cell
aagbllkp-1,Cycling HSPC
aagcmcal-1,Monocyte
aagdahgc-1,Adipo-MSC
aagfbcjj-1,RBC
aaggjbki-1,Mature B
aaggnkdn-1,APOD+ MSC
aaggodkb-1,THY1+ MSC
aagjmngp-1,pDC
aagjonbk-1,Plasma Cell
aagkfohi-1,Neutrophil
aaglmdgk-1,Fibro-MSC
aagokand-1,RBC
aahahgjm-1,RBC
aahalcjm-1,RBC
aahbajme-1,RBC
aahdgomn-1,Late Myeloid
aahdlbki-1,RBC
aahdojnd-1,Cycling HSPC
aahffdnh-1,RBC
aahfnilg-1,HSC
aahghlkd-1,Fibro-MSC
aahgpacg-1,pDC
aahheoaj-1,Erythroblast
aahimgmb-1,Fibro-MSC
aahmhllf-1,Neutrophil
aahndkoi-1,Adipo-MSC
aahogmll-1,Mature B
aaibechj-1,Late Erythroid
aaibkjnn-1,Late Erythroid
aaibolln-1,RBC
aaielbnd-1,Late Erythroid
aaiepjll-1,RBC
aaigepfj-1,Late Erythroid
aaihnage-1,Cycling HSPC
aaijmnkf-1,RBC
aaikmaio-1,RBC
aailcdge-1,RBC
aailngld-1,Cycling HSPC
aaimlcgd-1,Late Erythroid
aaiojgkc-1,Late Myeloid
aajaakcn-1,Late Myeloid
aajakfpb-1,RBC
aajcibbe-1,Late Erythroid
aajdichj-1,RBC
aajgdkap-1,Monocyte
aajgmkap-1,RBC
aajjmnep-1,RBC
aajkeaef-1,RBC
aajkkekk-1,Pro-B
aajkklea-1,RBC
aajkmegp-1,Plasma Cell
aajkpnld-1,Plasma Cell
aajlapnl-1,RBC
aajndedb-1,RBC
aakblpbd-1,APOD+ MSC
aakdfngc-1,Pre-Pro B
aakdibdj-1,Osteo-MSC
aakdjhgg-1,Plasma Cell
aakejppi-1,Late Myeloid
aakepefg-1,CD4+ T-Cell
aakhajnd-1,Fibro-MSC
aakileel-1,THY1+ MSC
aakjfjjf-1,GMP
aakmegjf-1,Mature B
aaknbkoh-1,Fibro-MSC
aalahlda-1,Neutrophil
aalamgek-1,Late Erythroid
aalckmog-1,Late Erythroid
aaleejen-1,Monocyte
aalenbcc-1,Pro-B
aalgdeec-1,Neutrophil
aalhfmde-1,GMP
aalhmgmc-1,THY1+ MSC
aalihobg-1,Monocyte
aalkhfkg-1,RBC
aalmfcaj-1,Fibro-MSC
aalmhohl-1,Late Myeloid
aalndgnp-1,Late Myeloid
aambfpjp-1,Late Myeloid
aambgdmi-1,Pre-Pro B
aambmmhk-1,Late Erythroid
aamclkbm-1,THY1+ MSC
aamekhjd-1,MEP
aamfldhc-1,CLP
aamhcind-1,Pre-B
aamimopj-1,Pro-B
aamjhhkc-1,Monocyte
aammegmb-1,Adipo-MSC
aammodel-1,APOD+ MSC
aamogigf-1,RBC
aamomnil-1,RBC
aampadbj-1,GMP
aamppcjp-1,Late Myeloid
aancanmc-1,CD8+ T-Cell
aandcchl-1,Neutrophil
aandenfl-1,RBC
aanflchb-1,SEC
