"","cell_id","group"
"aaabjdjl-1","aaabjdjl-1","RNAlo MSC"
"aaagkine-1","aaagkine-1","Not-mapped"
"aaahphgk-1","aaahphgk-1","Plasma Cell"
"aaaknaio-1","aaaknaio-1","AEC"
"aaalfdjc-1","aaalfdjc-1","Not-mapped"
"aaallclg-1","aaallclg-1","Not-mapped"
"aaapkldd-1","aaapkldd-1","CD8+ T-Cell"
"aabalhei-1","aabalhei-1","AEC"
"aabcgdeo-1","aabcgdeo-1","MEP"
"aabdnjdf-1","aabdnjdf-1","Not-mapped"
"aabganig-1","aabganig-1","Not-mapped"
"aabhafnp-1","aabhafnp-1","Not-mapped"
"aabhdmbc-1","aabhdmbc-1","HSC"
"aabhjepi-1","aabhjepi-1","Not-mapped"
"aabhlmaj-1","aabhlmaj-1","Not-mapped"
"aabjohmo-1","aabjohmo-1","RBC"
"aabkepkk-1","aabkepkk-1","RBC"
"aabkhfmg-1","aabkhfmg-1","Not-mapped"
"aablaggm-1","aablaggm-1","Not-mapped"
"aabldcgn-1","aabldcgn-1","Not-mapped"
"aabmlgda-1","aabmlgda-1","RBC"
"aabomeek-1","aabomeek-1","Not-mapped"
"aabpdcjm-1","aabpdcjm-1","Mature B"
"aacaacik-1","aacaacik-1","Not-mapped"
"aacboani-1","aacboani-1","CD4+ T-Cell"
"aacdjieg-1","aacdjieg-1","AEC"
"aacdmakb-1","aacdmakb-1","Not-mapped"
"aacecncd-1","aacecncd-1","AEC"
"aacedbma-1","aacedbma-1","Not-mapped"
"aackemgo-1","aackemgo-1","Late Erythroid"
"aackkade-1","aackkade-1","AEC"
"aackomne-1","aackomne-1","Not-mapped"
"aacldael-1","aacldael-1","Not-mapped"
"aacolfdi-1","aacolfdi-1","Not-mapped"
"aacpcfob-1","aacpcfob-1","AEC"
"aadafjgj-1","aadafjgj-1","Late Erythroid"
"aadbcphn-1","aadbcphn-1","Not-mapped"
"aadedlhd-1","aadedlhd-1","Not-mapped"
"aadflhdl-1","aadflhdl-1","Late Erythroid"
"aadfmchb-1","aadfmchb-1","Late Erythroid"
"aadigcbo-1","aadigcbo-1","RBC"
"aadigjoe-1","aadigjoe-1","Not-mapped"
"aadkhnao-1","aadkhnao-1","Late Erythroid"
"aadnhmpd-1","aadnhmpd-1","Late Erythroid"
"aadnojkg-1","aadnojkg-1","Not-mapped"
"aaebllep-1","aaebllep-1","Ba/Eo/Ma"
"aaedhjbo-1","aaedhjbo-1","Not-mapped"
"aaeeagfp-1","aaeeagfp-1","Not-mapped"
"aaefpbga-1","aaefpbga-1","Not-mapped"
"aaehadjb-1","aaehadjb-1","AEC"
"aaehkdkd-1","aaehkdkd-1","Neutrophil"
"aaeipiff-1","aaeipiff-1","CD4+ T-Cell"
"aaejkcpi-1","aaejkcpi-1","AEC"
"aaephlcf-1","aaephlcf-1","Not-mapped"
"aafaaacn-1","aafaaacn-1","Not-mapped"
"aafapcpo-1","aafapcpo-1","Not-mapped"
"aafebbgf-1","aafebbgf-1","AEC"
"aafefkhp-1","aafefkhp-1","Not-mapped"
"aafgclbb-1","aafgclbb-1","Not-mapped"
"aafieekc-1","aafieekc-1","Late Erythroid"
"aafjfhem-1","aafjfhem-1","CD8+ T-Cell"
"aafkcleb-1","aafkcleb-1","Late Erythroid"
"aafkkmpc-1","aafkkmpc-1","Not-mapped"
"aafmkpbp-1","aafmkpbp-1","Late Erythroid"
"aafphjek-1","aafphjek-1","Macrophages"
"aagababl-1","aagababl-1","Not-mapped"
"aagbdahk-1","aagbdahk-1","Plasma Cell"
"aagbgnag-1","aagbgnag-1","Late Erythroid"
"aagcmacn-1","aagcmacn-1","Late Erythroid"
"aagfgagg-1","aagfgagg-1","Not-mapped"
"aaghflgh-1","aaghflgh-1","Not-mapped"
"aagkdefg-1","aagkdefg-1","Not-mapped"
"aagknlgg-1","aagknlgg-1","Late Erythroid"
"aagncgkl-1","aagncgkl-1","RBC"
"aagnfplc-1","aagnfplc-1","Late Erythroid"
"aagngifc-1","aagngifc-1","Late Erythroid"
"aagpanmi-1","aagpanmi-1","Late Erythroid"
"aagppbek-1","aagppbek-1","Not-mapped"
"aahbenjc-1","aahbenjc-1","Late Erythroid"
"aahbkkfe-1","aahbkkfe-1","Late Erythroid"
"aahcpide-1","aahcpide-1","Late Erythroid"
"aahegeic-1","aahegeic-1","Late Erythroid"
"aahfkjid-1","aahfkjid-1","Late Erythroid"
"aahgfkie-1","aahgfkie-1","Neutrophil"
"aahhomee-1","aahhomee-1","Late Erythroid"
"aahigehh-1","aahigehh-1","Late Erythroid"
"aahigimg-1","aahigimg-1","RBC"
"aahigjhb-1","aahigjhb-1","Not-mapped"
"aahkgbdi-1","aahkgbdi-1","Late Erythroid"
"aahkohdk-1","aahkohdk-1","RBC"
"aahmfibi-1","aahmfibi-1","Not-mapped"
"aahopolm-1","aahopolm-1","Not-mapped"
"aaiabjpd-1","aaiabjpd-1","Not-mapped"
"aaibcglj-1","aaibcglj-1","Not-mapped"
"aaibcloj-1","aaibcloj-1","Not-mapped"
"aaibkfdp-1","aaibkfdp-1","Early Myeloid Progenitor"
"aaibojdk-1","aaibojdk-1","Late Erythroid"
"aaichnil-1","aaichnil-1","Late Erythroid"
"aaicmign-1","aaicmign-1","Not-mapped"
"aaicnbhc-1","aaicnbhc-1","Late Erythroid"
"aaicpbcm-1","aaicpbcm-1","Late Erythroid"
"aaigdiin-1","aaigdiin-1","Not-mapped"
"aaigpgjd-1","aaigpgjd-1","Late Erythroid"
"aaiikbhj-1","aaiikbhj-1","Not-mapped"
"aailgdkm-1","aailgdkm-1","Monocyte"
"aaimdgon-1","aaimdgon-1","Late Erythroid"
"aaiocfae-1","aaiocfae-1","Late Erythroid"
"aaipkkni-1","aaipkkni-1","Monocyte"
"aajajcab-1","aajajcab-1","Late Erythroid"
"aajejene-1","aajejene-1","Not-mapped"
"aajghopc-1","aajghopc-1","Not-mapped"
"aajhjmgf-1","aajhjmgf-1","Late Erythroid"
"aajimgnb-1","aajimgnb-1","Late Erythroid"
"aajjahfa-1","aajjahfa-1","Not-mapped"
"aajjbkhj-1","aajjbkhj-1","Not-mapped"
"aajkocjp-1","aajkocjp-1","Not-mapped"
"aajlhhll-1","aajlhhll-1","Not-mapped"
"aajljgoe-1","aajljgoe-1","Late Erythroid"
"aakccgfj-1","aakccgfj-1","Neutrophil"
"aakeiljk-1","aakeiljk-1","Not-mapped"
"aakfinae-1","aakfinae-1","Not-mapped"
"aakimndo-1","aakimndo-1","Not-mapped"
"aakjpkcf-1","aakjpkcf-1","Not-mapped"
"aaklkiaf-1","aaklkiaf-1","Not-mapped"
"aaklnfgf-1","aaklnfgf-1","Not-mapped"
"aakmidii-1","aakmidii-1","CD8+ T-Cell"
"aakmkfgh-1","aakmkfgh-1","Neutrophil"
"aakmpdfh-1","aakmpdfh-1","Late Erythroid"
"aaknjbdo-1","aaknjbdo-1","Late Erythroid"
"aakphdog-1","aakphdog-1","Late Erythroid"
"aakpoojj-1","aakpoojj-1","Late Erythroid"
"aalabpgp-1","aalabpgp-1","Not-mapped"
"aalbpmch-1","aalbpmch-1","Monocyte"
"aalcjhbe-1","aalcjhbe-1","Late Myeloid"
