"","cell_id","group"
"aaahfkpp-1","aaahfkpp-1","APOD+ MSC"
"aaakldof-1","aaakldof-1","Early Myeloid Progenitor"
"aabcgeoi-1","aabcgeoi-1","Early Myeloid Progenitor"
"aabilegk-1","aabilegk-1","Early Myeloid Progenitor"
"aabjjjki-1","aabjjjki-1","RNAlo MSC"
"aabjpjlc-1","aabjpjlc-1","APOD+ MSC"
"aacfpfge-1","aacfpfge-1","Early Myeloid Progenitor"
"aadeccka-1","aadeccka-1","Pro-B"
"aadhhmac-1","aadhhmac-1","Early Myeloid Progenitor"
"aadjhhoa-1","aadjhhoa-1","APOD+ MSC"
"aaeflbel-1","aaeflbel-1","APOD+ MSC"
"aaffeaha-1","aaffeaha-1","Early Myeloid Progenitor"
"aafheica-1","aafheica-1","APOD+ MSC"
"aafjpknf-1","aafjpknf-1","APOD+ MSC"
"aafmijeo-1","aafmijeo-1","Early Myeloid Progenitor"
"aafpdnnn-1","aafpdnnn-1","Fibro-MSC"
"aahamlgp-1","aahamlgp-1","APOD+ MSC"
"aahapopk-1","aahapopk-1","APOD+ MSC"
"aahcmbne-1","aahcmbne-1","APOD+ MSC"
"aahehkgh-1","aahehkgh-1","APOD+ MSC"
"aahlenob-1","aahlenob-1","SEC"
"aaigehdj-1","aaigehdj-1","SEC"
"aaiihgdo-1","aaiihgdo-1","SEC"
"aainnknb-1","aainnknb-1","Early Myeloid Progenitor"
"aaknlfgh-1","aaknlfgh-1","VSMC"
"aaleidnj-1","aaleidnj-1","SEC"
"aalnfhip-1","aalnfhip-1","Macrophages"
"aalodjja-1","aalodjja-1","Plasma Cell"
"aamdegfg-1","aamdegfg-1","Plasma Cell"
"aamdnhpd-1","aamdnhpd-1","Plasma Cell"
"aamegijb-1","aamegijb-1","RNAlo MSC"
"aamlbnpk-1","aamlbnpk-1","SEC"
"aanehmkd-1","aanehmkd-1","VSMC"
"aanibakh-1","aanibakh-1","SEC"
"aanohihc-1","aanohihc-1","Mature B"
"aaobpkco-1","aaobpkco-1","VSMC"
