"","cell_id","group"
"aaabggfk-1","aaabggfk-1","Not-mapped"
"aaabhkog-1","aaabhkog-1","Not-mapped"
"aaabjogj-1","aaabjogj-1","Not-mapped"
"aaachjlk-1","aaachjlk-1","Not-mapped"
"aaaeeobh-1","aaaeeobh-1","Early Myeloid Progenitor"
"aaafhggl-1","aaafhggl-1","Early Myeloid Progenitor"
"aaagggcb-1","aaagggcb-1","Not-mapped"
"aaajlkde-1","aaajlkde-1","Early Myeloid Progenitor"
"aaakhopc-1","aaakhopc-1","Not-mapped"
"aaalhomg-1","aaalhomg-1","Not-mapped"
"aaaoockn-1","aaaoockn-1","Not-mapped"
"aaapackb-1","aaapackb-1","Not-mapped"
"aaapjjlc-1","aaapjjlc-1","Early Myeloid Progenitor"
"aaapkeld-1","aaapkeld-1","Not-mapped"
"aaapkfki-1","aaapkfki-1","Not-mapped"
"aaapolni-1","aaapolni-1","Not-mapped"
"aabaddgo-1","aabaddgo-1","Not-mapped"
"aabalinf-1","aabalinf-1","Not-mapped"
"aabbdhlc-1","aabbdhlc-1","Not-mapped"
"aabcbcnj-1","aabcbcnj-1","RBC"
"aabdfjbg-1","aabdfjbg-1","Early Myeloid Progenitor"
"aabenamn-1","aabenamn-1","RBC"
"aabfjcnj-1","aabfjcnj-1","Not-mapped"
"aabfndhe-1","aabfndhe-1","Not-mapped"
"aabgkmon-1","aabgkmon-1","CD8+ T-Cell"
"aabiakoc-1","aabiakoc-1","Not-mapped"
"aabiddgm-1","aabiddgm-1","Not-mapped"
"aabijfnd-1","aabijfnd-1","Not-mapped"
"aabilplo-1","aabilplo-1","Not-mapped"
"aabjphha-1","aabjphha-1","Not-mapped"
"aabkagmf-1","aabkagmf-1","Not-mapped"
"aablonhg-1","aablonhg-1","Not-mapped"
"aabnapgj-1","aabnapgj-1","Not-mapped"
"aabncpag-1","aabncpag-1","Not-mapped"
"aabnhimp-1","aabnhimp-1","Not-mapped"
"aabohipe-1","aabohipe-1","Not-mapped"
"aabpdofj-1","aabpdofj-1","Not-mapped"
"aabpfapl-1","aabpfapl-1","Early Myeloid Progenitor"
"aabphhme-1","aabphhme-1","Not-mapped"
"aabpmfjo-1","aabpmfjo-1","Not-mapped"
"aacaanbo-1","aacaanbo-1","Not-mapped"
"aacaeehl-1","aacaeehl-1","Not-mapped"
"aacbccgh-1","aacbccgh-1","Not-mapped"
"aacclagh-1","aacclagh-1","Late Erythroid"
"aaccnebd-1","aaccnebd-1","Not-mapped"
"aaceiclh-1","aaceiclh-1","Not-mapped"
"aacenbml-1","aacenbml-1","Not-mapped"
"aacfcgnn-1","aacfcgnn-1","Not-mapped"
"aacgaegb-1","aacgaegb-1","Not-mapped"
"aachaeof-1","aachaeof-1","Not-mapped"
"aackjood-1","aackjood-1","Not-mapped"
"aacmfeoj-1","aacmfeoj-1","Not-mapped"
"aacmiada-1","aacmiada-1","Not-mapped"
"aadcbakh-1","aadcbakh-1","Not-mapped"
"aaddefpj-1","aaddefpj-1","GMP"
"aaddkpee-1","aaddkpee-1","GMP"
"aadfbfca-1","aadfbfca-1","GMP"
"aadfeobc-1","aadfeobc-1","Not-mapped"
"aadfjbkn-1","aadfjbkn-1","Not-mapped"
"aadhpech-1","aadhpech-1","Not-mapped"
"aadioiii-1","aadioiii-1","GMP"
"aadjakej-1","aadjakej-1","Early Myeloid Progenitor"
"aadjkfbc-1","aadjkfbc-1","Not-mapped"
"aadjmcmj-1","aadjmcmj-1","Not-mapped"
"aadjnjbh-1","aadjnjbh-1","Not-mapped"
"aadkbeff-1","aadkbeff-1","Not-mapped"
"aadlganj-1","aadlganj-1","GMP"
"aadmclip-1","aadmclip-1","Not-mapped"
"aadmedgb-1","aadmedgb-1","Late Erythroid"
"aadnpoab-1","aadnpoab-1","Not-mapped"
"aadodcib-1","aadodcib-1","Late Erythroid"
"aadohopl-1","aadohopl-1","GMP"
"aadojgbb-1","aadojgbb-1","Early Myeloid Progenitor"
"aadpljln-1","aadpljln-1","Not-mapped"
"aaeaaahf-1","aaeaaahf-1","Early Myeloid Progenitor"
"aaealnmd-1","aaealnmd-1","GMP"
"aaeamppp-1","aaeamppp-1","Not-mapped"
"aaeanemp-1","aaeanemp-1","Not-mapped"
"aaebgoam-1","aaebgoam-1","Late Erythroid"
"aaebimof-1","aaebimof-1","Late Myeloid"
"aaecaaam-1","aaecaaam-1","Not-mapped"
"aaegcafj-1","aaegcafj-1","Not-mapped"
"aaegmdlk-1","aaegmdlk-1","Not-mapped"
"aaekeejk-1","aaekeejk-1","Not-mapped"
"aaelhgdo-1","aaelhgdo-1","Not-mapped"
"aaelicnf-1","aaelicnf-1","Not-mapped"
"aaemnlng-1","aaemnlng-1","Early Myeloid Progenitor"
"aaempjpb-1","aaempjpb-1","Late Erythroid"
"aaeohjfe-1","aaeohjfe-1","Early Myeloid Progenitor"
"aaeomppn-1","aaeomppn-1","Not-mapped"
"aaeonbfb-1","aaeonbfb-1","Early Myeloid Progenitor"
"aafbnlfc-1","aafbnlfc-1","Late Erythroid"
"aafcafig-1","aafcafig-1","Early Myeloid Progenitor"
"aafdcjcp-1","aafdcjcp-1","Late Myeloid"
"aafdcpef-1","aafdcpef-1","GMP"
"aafdgfld-1","aafdgfld-1","Not-mapped"
"aafejkep-1","aafejkep-1","Late Myeloid"
"aaffefle-1","aaffefle-1","Not-mapped"
"aafgggec-1","aafgggec-1","Not-mapped"
"aafgonph-1","aafgonph-1","Not-mapped"
"aafhbham-1","aafhbham-1","Late Myeloid"
"aafhfoib-1","aafhfoib-1","Not-mapped"
"aafkafai-1","aafkafai-1","Not-mapped"
"aaflnifd-1","aaflnifd-1","Early Myeloid Progenitor"
"aafnppga-1","aafnppga-1","Not-mapped"
"aafobnle-1","aafobnle-1","GMP"
"aafogdag-1","aafogdag-1","Not-mapped"
"aafogigg-1","aafogigg-1","Late Myeloid"
"aafpbofl-1","aafpbofl-1","Early Myeloid Progenitor"
"aafphonn-1","aafphonn-1","Early Myeloid Progenitor"
"aagbikee-1","aagbikee-1","Late Erythroid"
"aagcenkk-1","aagcenkk-1","Late Erythroid"
"aagehgbc-1","aagehgbc-1","Late Erythroid"
"aagemmbe-1","aagemmbe-1","Late Erythroid"
"aagffeam-1","aagffeam-1","GMP"
"aagghmal-1","aagghmal-1","Not-mapped"
"aagkcmoc-1","aagkcmoc-1","Not-mapped"
"aaglepkk-1","aaglepkk-1","Late Erythroid"
"aaglgonn-1","aaglgonn-1","Late Erythroid"
"aagllaff-1","aagllaff-1","Late Erythroid"
"aagmehed-1","aagmehed-1","Not-mapped"
"aagnmeob-1","aagnmeob-1","Late Erythroid"
"aahadiee-1","aahadiee-1","Late Erythroid"
"aahchijp-1","aahchijp-1","Late Erythroid"
"aahchjal-1","aahchjal-1","Late Erythroid"
"aahclloe-1","aahclloe-1","Late Erythroid"
"aaheljph-1","aaheljph-1","Late Erythroid"
"aahhcehf-1","aahhcehf-1","Late Erythroid"
"aahmhidk-1","aahmhidk-1","Not-mapped"
"aahmhobn-1","aahmhobn-1","Early Myeloid Progenitor"
"aahmlblk-1","aahmlblk-1","Not-mapped"
