"","cell_id","group"
"aaabggfk-1","aaabggfk-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aaabhkog-1","aaabhkog-1","T_NK"
"aaabjogj-1","aaabjogj-1","Uk"
"aaachjlk-1","aaachjlk-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aaaeeobh-1","aaaeeobh-1","Uk"
"aaafhggl-1","aaafhggl-1","Uk"
"aaagggcb-1","aaagggcb-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aaajlkde-1","aaajlkde-1","Uk"
"aaakhopc-1","aaakhopc-1","CTSK+ osteoclast?"
"aaalhomg-1","aaalhomg-1","T_NK"
"aaaoockn-1","aaaoockn-1","Uk"
"aaapackb-1","aaapackb-1","Uk"
"aaapjjlc-1","aaapjjlc-1","Uk"
"aaapkeld-1","aaapkeld-1","B cell"
"aaapkfki-1","aaapkfki-1","Uk"
"aaapolni-1","aaapolni-1","SPP1+ Osteoblast"
"aabaddgo-1","aabaddgo-1","Uk"
"aabalinf-1","aabalinf-1","Uk"
"aabbdhlc-1","aabbdhlc-1","Uk"
"aabcbcnj-1","aabcbcnj-1","Uk"
"aabdfjbg-1","aabdfjbg-1","MKI67+ Erythroblast"
"aabenamn-1","aabenamn-1","T_NK"
"aabfjcnj-1","aabfjcnj-1","CTSK+ osteoclast?"
"aabfndhe-1","aabfndhe-1","B cell"
"aabgkmon-1","aabgkmon-1","DNTT+ Uk"
"aabiakoc-1","aabiakoc-1","Uk"
"aabiddgm-1","aabiddgm-1","Uk"
"aabijfnd-1","aabijfnd-1","MS4A2+ Mast Cell?"
"aabilplo-1","aabilplo-1","Uk"
"aabjphha-1","aabjphha-1","DNTT+ Uk"
"aabkagmf-1","aabkagmf-1","DNTT+ Uk"
"aablonhg-1","aablonhg-1","B cell"
"aabnapgj-1","aabnapgj-1","DNTT+ Uk"
"aabncpag-1","aabncpag-1","Uk"
"aabnhimp-1","aabnhimp-1","Uk"
"aabohipe-1","aabohipe-1","Uk"
"aabpdofj-1","aabpdofj-1","B cell"
"aabpfapl-1","aabpfapl-1","Uk"
"aabphhme-1","aabphhme-1","Uk"
"aabpmfjo-1","aabpmfjo-1","Uk"
"aacaanbo-1","aacaanbo-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aacaeehl-1","aacaeehl-1","Uk"
"aacbccgh-1","aacbccgh-1","Uk"
"aacclagh-1","aacclagh-1","Uk"
"aaccnebd-1","aaccnebd-1","ITGAM+ Uk"
"aaceiclh-1","aaceiclh-1","Uk"
"aacenbml-1","aacenbml-1","T_NK"
"aacfcgnn-1","aacfcgnn-1","DNTT+ Uk"
"aacgaegb-1","aacgaegb-1","Uk"
"aachaeof-1","aachaeof-1","MS4A2+ Mast Cell?"
"aackjood-1","aackjood-1","SPP1+ Osteoblast"
"aacmfeoj-1","aacmfeoj-1","Uk"
"aacmiada-1","aacmiada-1","Uk"
"aadcbakh-1","aadcbakh-1","Uk"
"aaddefpj-1","aaddefpj-1","Uk"
"aaddkpee-1","aaddkpee-1","CTSK+ osteoclast?"
"aadfbfca-1","aadfbfca-1","Uk"
"aadfeobc-1","aadfeobc-1","Uk"
"aadfjbkn-1","aadfjbkn-1","T_NK"
"aadhpech-1","aadhpech-1","DNTT+ Uk"
"aadioiii-1","aadioiii-1","Uk"
"aadjakej-1","aadjakej-1","ITGAM+ ELANE_low Neutrophil"
"aadjkfbc-1","aadjkfbc-1","ITGAM+ ELANE_low Neutrophil"
"aadjmcmj-1","aadjmcmj-1","Uk"
"aadjnjbh-1","aadjnjbh-1","ITGAM+ ELANE_low Neutrophil"
"aadkbeff-1","aadkbeff-1","MKI67+ Erythroblast"
"aadlganj-1","aadlganj-1","ITGAM+ Uk"
"aadmclip-1","aadmclip-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"aadmedgb-1","aadmedgb-1","CTSK+ osteoclast?"
"aadnpoab-1","aadnpoab-1","MS4A2+ Mast Cell?"
"aadodcib-1","aadodcib-1","MKI67+ Erythroblast"
"aadohopl-1","aadohopl-1","ELANE_high Neutrophil"
"aadojgbb-1","aadojgbb-1","Uk"
"aadpljln-1","aadpljln-1","Uk"
"aaeaaahf-1","aaeaaahf-1","MKI67+ Erythroblast"
"aaealnmd-1","aaealnmd-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"aaeamppp-1","aaeamppp-1","ELANE_high Neutrophil"
"aaeanemp-1","aaeanemp-1","Uk"
"aaebgoam-1","aaebgoam-1","MS4A2+ Mast Cell?"
"aaebimof-1","aaebimof-1","ITGAM+ Uk"
"aaecaaam-1","aaecaaam-1","Uk"
"aaegcafj-1","aaegcafj-1","Uk"
"aaegmdlk-1","aaegmdlk-1","ITGAM+ ELANE_low Neutrophil"
"aaekeejk-1","aaekeejk-1","ITGAM+ Uk"
"aaelhgdo-1","aaelhgdo-1","Uk"
"aaelicnf-1","aaelicnf-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aaemnlng-1","aaemnlng-1","Uk"
"aaempjpb-1","aaempjpb-1","MKI67+ Erythroblast"
