cell_id,group
aaaagffj-1,GMP
aaabhbdm-1,Pre-Pro B
aaacjbml-1,APOD+ MSC
aaadicla-1,Mature B
aaafipfj-1,Cycling HSPC
aaagjpip-1,Ba/Eo/Ma
aaahemgf-1,THY1+ MSC
aaajmgfh-1,Cycling HSPC
aaakmhen-1,CD8+ T-Cell
aaakmolk-1,Cycling HSPC
aaalppll-1,Plasma Cell
aaamfmap-1,Fibro-MSC
aaancnoc-1,AEC
aaaomhbe-1,SEC
aabaldbj-1,Pro-B
aabbddmb-1,Osteoblast
aabgnlcl-1,Ba/Eo/Ma
aabhmoic-1,CD8+ T-Cell
aabjckio-1,RBC
aabkieoh-1,Pro-B
aablogkb-1,Fibro-MSC
aabnadpc-1,Late Myeloid
aabnooie-1,Late Myeloid
aabolfjo-1,Cycling HSPC
aabpffgp-1,CD8+ T-Cell
aacahgjc-1,Pre-Pro B
aacfeohn-1,Ba/Eo/Ma
aacgdgin-1,Cycling HSPC
aacmfppm-1,Cycling HSPC
aacmmchj-1,GMP
aacpflfm-1,Early Myeloid Progenitor
aacphfig-1,Osteoblast
aadahcmn-1,Fibro-MSC
aadbgnim-1,Ba/Eo/Ma
aadcdjgb-1,Neutrophil
aadcplfn-1,Osteo-MSC
aadgiflp-1,HSC
aadjeigb-1,CD4+ T-Cell
aadjmhgo-1,pDC
aadjpaff-1,Early Myeloid Progenitor
aadliddm-1,RBC
aadmpbji-1,CLP
aadobmop-1,Fibro-MSC
aadofhec-1,Mature B
aadphmdb-1,CD4+ T-Cell
aadppobe-1,Fibro-MSC
aaeahaea-1,Plasma Cell
aaeanhmj-1,Osteoblast
aaebbbli-1,AEC
aaecddbf-1,HSC
aaecenkg-1,HSC
aaeekben-1,Ba/Eo/Ma
aaegbbjk-1,Ba/Eo/Ma
aaehmefc-1,AEC
aaejamcg-1,HSC
aaejepkc-1,Cycling HSPC
aaekjgll-1,Cycling HSPC
aaekoibn-1,MEP
aaemmfid-1,SEC
aaenkpah-1,Mature B
aaepapih-1,Erythroblast
aafagfoa-1,Adipo-MSC
aafaimmd-1,CD8+ T-Cell
aafbhcaj-1,AEC
aafblhem-1,CD4+ T-Cell
aafcilbn-1,pDC
aaffddcc-1,Monocyte
aafffhnj-1,Cycling HSPC
aafheghn-1,THY1+ MSC
aafkflpp-1,HSC
aaflfiad-1,Osteoblast
aafmgdpo-1,Megakaryocyte
aafpclih-1,VSMC
aafpmndl-1,Fibro-MSC
aagblbmi-1,CD4+ T-Cell
aagbllkp-1,Cycling HSPC
aagcmcal-1,Mature B
aagdahgc-1,Adipo-MSC
aagfbcjj-1,Osteo-MSC
aaggjbki-1,Mature B
