"","cell_id","group"
"aaaaeedd-1","aaaaeedd-1","RNAlo MSC"
"aaabdjad-1","aaabdjad-1","Plasma Cell"
"aaabompc-1","aaabompc-1","Not-mapped"
"aaadafek-1","aaadafek-1","APOD+ MSC"
"aaadgaof-1","aaadgaof-1","Early Myeloid Progenitor"
"aaadoacn-1","aaadoacn-1","Early Myeloid Progenitor"
"aaaffcng-1","aaaffcng-1","Not-mapped"
"aaaiihno-1","aaaiihno-1","Early Myeloid Progenitor"
"aaakkbfe-1","aaakkbfe-1","pDC"
"aaalglhk-1","aaalglhk-1","Not-mapped"
"aaalijni-1","aaalijni-1","Not-mapped"
"aaamhdgc-1","aaamhdgc-1","Plasma Cell"
"aaamkghf-1","aaamkghf-1","Not-mapped"
"aaannaem-1","aaannaem-1","Not-mapped"
"aabajjkm-1","aabajjkm-1","Not-mapped"
"aabbehch-1","aabbehch-1","Plasma Cell"
"aabebeoc-1","aabebeoc-1","RNAlo MSC"
"aabggldp-1","aabggldp-1","Macrophages"
"aabideli-1","aabideli-1","Plasma Cell"
"aabimmnp-1","aabimmnp-1","APOD+ MSC"
"aabiocep-1","aabiocep-1","Not-mapped"
"aabjddga-1","aabjddga-1","Not-mapped"
"aabmcoed-1","aabmcoed-1","Not-mapped"
"aabmpede-1","aabmpede-1","Not-mapped"
"aabngmli-1","aabngmli-1","Not-mapped"
"aaboelef-1","aaboelef-1","Not-mapped"
"aabpagaj-1","aabpagaj-1","Not-mapped"
"aabpfopl-1","aabpfopl-1","VSMC"
"aacaebcf-1","aacaebcf-1","Not-mapped"
"aacbommk-1","aacbommk-1","VSMC"
"aacdbmhn-1","aacdbmhn-1","Not-mapped"
"aaceihkb-1","aaceihkb-1","AEC"
"aacfmbkb-1","aacfmbkb-1","Not-mapped"
"aacgafgg-1","aacgafgg-1","Pro-B"
"aacghofk-1","aacghofk-1","Not-mapped"
"aacnicmk-1","aacnicmk-1","Not-mapped"
"aacoanfl-1","aacoanfl-1","Plasma Cell"
"aacokipb-1","aacokipb-1","Plasma Cell"
"aacpnbof-1","aacpnbof-1","RNAlo MSC"
"aadckcdl-1","aadckcdl-1","Not-mapped"
"aadjfpgj-1","aadjfpgj-1","Plasma Cell"
"aadkgaeh-1","aadkgaeh-1","Plasma Cell"
"aadkkgai-1","aadkkgai-1","Not-mapped"
"aadlmblo-1","aadlmblo-1","Not-mapped"
"aadpacgn-1","aadpacgn-1","Not-mapped"
"aadplmfa-1","aadplmfa-1","VSMC"
"aaebgcnn-1","aaebgcnn-1","VSMC"
"aaeblpjl-1","aaeblpjl-1","Pro-B"
"aaeealjk-1","aaeealjk-1","Early Myeloid Progenitor"
"aaefipna-1","aaefipna-1","Plasma Cell"
"aaefpeof-1","aaefpeof-1","Not-mapped"
"aaegioff-1","aaegioff-1","Plasma Cell"
"aaegjhmg-1","aaegjhmg-1","Early Myeloid Progenitor"
"aaegmilp-1","aaegmilp-1","Not-mapped"
"aaehenml-1","aaehenml-1","Not-mapped"
"aaekedph-1","aaekedph-1","Pro-B"
"aaengfkf-1","aaengfkf-1","Not-mapped"
"aaenpgdm-1","aaenpgdm-1","VSMC"
"aaepjfim-1","aaepjfim-1","Not-mapped"
"aaeplopi-1","aaeplopi-1","AEC"
"aafbhann-1","aafbhann-1","VSMC"
"aaffkanc-1","aaffkanc-1","Not-mapped"
"aafghbcp-1","aafghbcp-1","Plasma Cell"
"aafhgipn-1","aafhgipn-1","Plasma Cell"
"aafigoae-1","aafigoae-1","Plasma Cell"
"aafikgda-1","aafikgda-1","Not-mapped"
"aafjkbob-1","aafjkbob-1","AEC"
"aafladnm-1","aafladnm-1","Early Myeloid Progenitor"
"aafminaf-1","aafminaf-1","Not-mapped"
"aafnjkkd-1","aafnjkkd-1","VSMC"
