"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.10813531668073,0.903,0.144,0,"0","DCN"
"2",0,4.39970946672017,0.831,0.08,0,"0","FBLN1"
"3",0,3.61594124904922,0.888,0.139,0,"0","COL6A3"
"4",0,3.07173420070568,0.882,0.15,0,"0","ABI3BP"
"5",0,4.19055619209486,0.821,0.103,0,"0","DCLK1"
"6",0,2.7384245769794,0.862,0.163,0,"0","LAMA2"
"7",0,2.36793633832111,0.867,0.171,0,"0","COL1A2"
"8",0,4.71506215238819,0.737,0.058,0,"0","NOX4"
"9",0,3.1506871800694,0.802,0.128,0,"0","NOVA1"
"10",0,6.63455775054683,0.696,0.025,0,"0","AL110292.1"
"11",0,3.43081978967272,0.818,0.163,0,"0","ANK2"
"12",0,3.1393427003864,0.771,0.131,0,"0","COL3A1"
"13",0,4.31154801956278,0.71,0.077,0,"0","COL12A1"
"14",0,1.53209669955339,0.874,0.255,0,"0","SOX5"
"15",0,3.06284192219111,0.923,0.305,0,"0","MIR99AHG"
"16",0,2.95117202899949,0.805,0.191,0,"0","TNXB"
"17",0,2.60968618084524,0.781,0.173,0,"0","BNC2"
"18",0,2.02465701062954,0.858,0.251,0,"0","DLC1"
"19",0,3.30391171257833,0.779,0.176,0,"0","FBN1"
"20",0,3.76843020699051,0.697,0.095,0,"0","FSTL1"
"21",0,2.43194238833732,0.678,0.082,0,"0","COL1A1"
"22",0,2.39207391231389,0.798,0.204,0,"0","PRRX1"
"23",0,2.48561956000474,0.761,0.179,0,"0","BICC1"
"24",0,2.42596666528422,0.778,0.197,0,"0","TSHZ2"
"25",0,3.7055541102031,0.666,0.092,0,"0","COL14A1"
"26",0,2.15861414929762,0.835,0.265,0,"0","NFIB"
"27",0,1.86407207658999,0.816,0.252,0,"0","EBF1"
"28",0,1.84799806913994,0.865,0.302,0,"0","PTPRG"
"29",0,2.98802274107797,0.826,0.264,0,"0","GSN"
"30",0,3.77304248266896,0.641,0.08,0,"0","GALNT15"
"31",0,2.29195929915331,0.721,0.162,0,"0","COL5A2"
"32",0,3.15324756364037,0.649,0.092,0,"0","HMCN1"
"33",0,4.10060793084503,0.619,0.069,0,"0","CCDC80"
"34",0,4.41148945382195,0.595,0.046,0,"0","AC079298.3"
"35",0,2.78686148506922,0.645,0.1,0,"0","DNM1"
"36",0,2.2976241311997,0.741,0.196,0,"0","PSD3"
"37",0,2.66569794026645,0.809,0.267,0,"0","SETBP1"
"38",0,2.26908547412022,0.885,0.347,0,"0","PLXDC2"
"39",0,2.1469480203766,0.621,0.088,0,"0","MEG3"
"40",0,2.23920851196297,0.688,0.155,0,"0","MIR100HG"
"41",0,3.42447134153146,0.608,0.076,0,"0","CDON"
"42",0,2.47927524096077,0.687,0.157,0,"0","DDR2"
"43",0,3.47154240697525,0.603,0.075,0,"0","PCOLCE2"
"44",0,3.07541494568567,0.664,0.137,0,"0","PLPP3"
"45",0,2.31736971948869,0.677,0.15,0,"0","ZFHX4"
"46",0,1.40653775935987,0.877,0.357,0,"0","RBMS3"
"47",0,1.53862266807814,0.657,0.139,0,"0","VCAN"
"48",0,3.22176337435765,0.592,0.076,0,"0","ITGA11"
"49",0,2.14716076237537,0.727,0.212,0,"0","ZFPM2"
"50",0,4.37570066020423,0.547,0.032,0,"0","MFAP5"
"51",0,2.63908262629406,0.633,0.12,0,"0","COL6A1"
"52",0,2.52326711572206,0.639,0.129,0,"0","LPAR1"
"53",0,1.94479039831118,0.669,0.162,0,"0","PID1"
"54",0,3.05705620622474,0.588,0.082,0,"0","DNM3OS"
"55",0,2.20693368241966,0.717,0.211,0,"0","LHFPL6"
"56",0,3.55286225781011,0.562,0.057,0,"0","FBLN2"
"57",0,2.13766832095597,0.587,0.087,0,"0","ABCA8"
